Quote,Author,Tags
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world"
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices"
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles"
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value"
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,"courage, friends"
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,"simplicity, understand"
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,love
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,"books, contentment, friends, friendship, life"
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,"children, fairy-tales"
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.”",J.K. Rowling,
“Logic will get you from A to Z; imagination will get you everywhere.”,Albert Einstein,imagination
"“One good thing about music, when it hits you, you feel no pain.”",Bob Marley,music
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”",J.K. Rowling,dumbledore
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,friendship
"“To the well-organized mind, death is but the next great adventure.”",J.K. Rowling,"death, inspirational"
“Any fool can know. The point is to understand.”,Albert Einstein,"knowledge, learning, understanding, wisdom"
"“Life is like riding a bicycle. To keep your balance, you must keep moving.”",Albert Einstein,"life, simile"
"“It matters not what someone is born, but what they grow to be.”",J.K. Rowling,dumbledore
"“Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.”",James Baldwin,love
